frame,timestamp_s,brightness,saturation,edge_density,top_edge_density,bottom_edge_density,histogram_change,motion_score,scene_cut
299,9.9667,105.2661,147.026,0.027271,0.026508,0.024059,0.140565,2.609087,0
300,10.0,105.9811,147.8456,0.02323,0.026473,0.007796,0.065014,2.447459,0
301,10.0333,104.295,150.4344,0.022798,0.027807,0.009116,0.061312,13.04862,0
302,10.0667,103.4002,150.8394,0.023946,0.032147,0.011146,0.052297,18.999279,0
303,10.1,103.6868,149.6783,0.024657,0.034001,0.013623,0.033778,5.205753,0
304,10.1333,104.3092,147.2814,0.024145,0.035582,0.016411,0.060127,4.862944,0
305,10.1667,107.4381,140.1403,0.02738,0.035918,0.018745,0.088622,4.515254,0
306,10.2,110.974,131.2708,0.026889,0.032543,0.018159,0.054879,2.768886,0
307,10.2333,114.5003,125.9003,0.026163,0.03232,0.018908,0.069552,3.993677,0
308,10.2667,118.4623,121.4019,0.025549,0.034505,0.019425,0.080285,4.627395,0
309,10.3,122.8336,118.8585,0.021918,0.031895,0.015982,0.09204,4.263113,0
310,10.3333,127.0826,115.9107,0.018706,0.030224,0.017612,0.092557,5.186577,0
311,10.3667,130.1528,115.1145,0.01511,0.026853,0.012943,0.094549,2.947315,0
312,10.4,134.0834,109.8094,0.012154,0.026596,0.007575,0.127823,3.807519,0
313,10.4333,137.9508,95.2379,0.014192,0.030748,0.009998,0.202772,6.760105,0
